text,Label,Sentiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/ The mRNA technology in COVID-19 vaccines in Canada has never been used clinically in humans before,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9/ The Moderna vaccine uses the same mRNA technology as Pfizer - and has been suspended for use in children and young people in the United Kingdom, Sweden, Finland, Norway, Iceland, Germany and France",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Signed by 14 Canadian Physicians - including 2 Pediatricians, other specialists and family doctors; and more than 100 nurses from across Canada, including pediatric nurses

#factsnotfear #NoVaccinePassports #NoVaccineMandates #StandUp #WakeUp #DoNotComply #UnitedNonCompliance",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DavidHamer_1951 @JustinTrudeau Don't you know that his late father is actually alive and will dine this very evening with Elvis?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@savyrecords Everyone in Canada getting on a plane starting in a few days, not knowing how many covid+ people are on board. Just what the rabid mandate crowd asked for.",movement,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am watching Ohio state vs Michigan football game in the Big House. 110000 people at the game. 

To all the wimpy fearful Canadians. Covid is over. Live your life. 
The following don't know what they are doing. @JustinTrudeau @CPHO_Canada @adriandix @jjhorgan #resignnow",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@carol_fraughton @ChristianWalk1r Remarkably low in Florida too and no one wears masks or even shut down Soooo!  Pick your way of life.... GREAT TO BE FREE!!  #NoFear!  #99%SurvivalRate!  #WhereDidFluGo!  #WakeUp #BeingPlayed,precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@skommana1 It is not mRNA vax, it is a conventional vax, just as you got for measles, mumps, etc. it is not patented so the world can make it and everyone can be Vax'd and stop COVID spread and mutations.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@carol_fraughton @ChristianWalk1r I don't see the logic in that conclusion unless you're a pharma exec.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada closing borders to travelers from seven southern African nations over COVID-19 fears,movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@habius @CPHO_Canada We already had Covid in the country by Feb 2020, so there was no non-racist reason for restrictions, I agree with that decision. Restricted from India and UK due to Delta, now trying to keep Omicron out of our country by restricting travel. Just putting off the inevitable I suppose",variant,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@brandonwintpoet I know that a friend of mine who is a health care worker got hers in Alberta, but I think there are only specific folks that boosters are available to at the moment here.",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@ASlavitt The EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, whether airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@EPAMichaelRegan The EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, whether airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@carol_fraughton @ChristianWalk1r Pop TX = 29.2 Million - Deaths= 74K ... When Picking Battles, Sitting Home In Fear Never Wins ... LIVING Life Normally Does ...",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@JoeBiden The EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, whether airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@brandonwintpoet In MB we can now get them if we're a minimum of six months out from our second vaccine dose. 
I know what you mean about feeling a bit out of the loop about it, though - I've been finding it tricky to find definitive answers on some things/have encountered some conflicting info.",vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@JayLochrie The EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, whether airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@wgudbranson @Hannah_Bananaz @diana_murphy613 What is the problem with a hybrid system? It's a system that could solve a number of issues. What about MP's that are ill, have issues that mean return to their riding, the new variant, future pandemics. MP's could still go to HoC but know they could still vote from home if need",government,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@elegnome @makurvoiceamail No it just reopened on the 8th.
So far it's still open, no quarantine just vaccinated people only with negative covid tests.",covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @ChristianWalk1r @carol_fraughton I understand that u live a life and deep fear and uncertainty, and that if you could you would live in a rock forever. However, we've been vaccinated - roughly 80% of us and the ""experts""ù as I recall said once 70% are vaxxed we can return to normal life.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@GAKechnie @ktumulty You are vaxing your children for a disease that doesn't affect them?  Do you have any idea how ridiculous that is when the vax itself can do more harm to them?

Stupid fucking people.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" @newsmax Florida has had 2,847 COVID deaths per million, Canada only 775 per million.
More than 3.6 times worse!
USA in all is 2,414 per million.
It is far worse than the national average.
How many kids grandkids are cursing DeSantis?
#DeSantisDeathToll
#NewsMaxIsNewsMuck
#GOPDeathCult",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" I understand that hesitancy is a problem in SA. It's deplorable that we dumped vaccines. Many immunocompromised people have been waiting for a third dose, since they've been forced to isolate for 18 mos. 2 doses only gave them 50-55% protection. And we dump doses...",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@justlooking998 @mtracey Same here in Canada.  We spent BILLIONS on emergency COVID funding for rent, businesses, UI benefits etc and it seems very little of it was invested in expanding health care capacity.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @mashe3n @CarymaRules @sawpoet @fordnation Too bad vaccination status isn't. è,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ALANMYERSMEDIA I haven't worn a mask since July and haven't had covid Al you can't know your mask wearing in Canada stopped you getting covid,precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I don't,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@gorgonlin @RemCent @Zieleds I'm in Canada and it's incredibly hard to switch doctors. Trust me, I've tried. Last time I tried they required me to sign a piece of paper and they said we send it away and you'll be taken off. Months went by, nothing. You can't use the doctor either when you do this.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@brandonwintpoet Third shots? If you need to travel to the US or elsewhere you can (or must?) get them.,vaccine,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@atulbutte @KLM even from Canada to US my mother in law was never asked to show test result by @AirCanada,movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @punditclass 4 cases.... 8 billion people!,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DeborrahS @Cygnus52477072 @QuancyClayborne Isn't the self-proclaimed Qanon 'Queen of Canada' telling her followers to attack vaccination centers with guns?,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@alaskadalifax When I go to work, it's in a glass steel and granite building that might be a Canadian set to a Syfy series (e.g., Caprica), and a guard holds a thermometer scanner while I flash an app on my ultra thin, Westworld-esque smartphone, and, yeah, I'm in a film ... ",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@TheJourneyForth @justlooking998 @mtracey exactly I was about to say it was the case for Canada and I bet all the Western countries and I saw your tweet. More mutations (confirmed) = more contagious (confirmed) = less dangerous (not confirmed but no need to confirm, it's always the case). They should abolish the new normal.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@DavidLWindt The EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, whether airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing.",covid/pandemic,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@Teadoism @M_Phatical @IcicleThieves @BretWeinstein The data here in Canada shows that negative effects occur in like 0.00033% of people. That's a guestimate but I can get the actual stat if you want. In fact it's almost statistically impossible that you know that many people.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @ChristianWalk1r Masks are to keep you afraid of each other and keep you tweeting about it hating knowing you can't be wrong. Masks won't save you from anything period. Grow up it's called opression,precaution,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@oldmusicsoull @BogochIsaac Can you link the source showing that half of hospitalizations are in the vaccinated in Canada? I haven't seen that.,covid/pandemic,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@thevivafrei @MandysTake They really have no idea and the dumbed down plebs will abide , Canada is trending downwards",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@EDWinnipeg Canada? Really? The same Canada where the Marxist leader of the nation is locking down the entire country over a handful of covid cases and is locking people up for speaking out against his crimes? I think not.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@carol_fraughton @ChristianWalk1r Canadian- woke capital.  We don't listen to your advice just like Justin bustin,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@BBB_Tulsa @ChristianWalk1r Dry weak answer,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@FeeBee35028270 @Rachelnonumbers @chrissaccoccia1 Except this isn't a destination ban, nor was that.  He asked the airlines NOT to fly to those destinations and they agreed. 

This law literally says you cannot fly OUT of Canadian airports after 3am on nov 30 without proof of vaccination.",movement,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@AaronReeves3 @ItsDeanBlundell @MarkSlapinski @pfizer @LeadStoriesCom You are a joke. Are you Canadian or American?,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 @ChristianWalk1r Very weak answer. A49è,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@bbenn68 @Emilitaa23 @DrEricDing I agree wholeheartedly. I for one - had to endure the worst of the pandemic in Spain away from my partner. And now I am in America I have had to wait 2 years or so to visit my parents in Canada. If you follow all precautions and stick to guidelines - why the hate.,movement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MichelleAuger @Chapmans_Canada This is what i dont get about the vaccine virtue signaling. After a few months you being vaccinated does basically nothing to stop the spread. And yet chapmans is rewarding these people for exempting themselves inappropriately from testing.,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@usehead_heart @Rachelnonumbers @chrissaccoccia1 Okay.  I will look into it further.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@MichelleAuger @Chapmans_Canada So... Can we end the blind virtue signalling and vaccine shaming? Its making the pro vaxxers look smug and ignorant. Are we trying to stop covid... Or are we trying to virtue signal here?,vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Our local legion has been struggling! Covid has not allowed us to attend any fundraising functions, we always had dances!",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Captain_EyebaII @LyndzBeck Also, the PCR tests R an absolute Hoax.
The inventor or the test, Karry Mullis has said it CAN NOT detect Viral Infection. Furthermore, cycles or magnifications over 27X yield up to 94% false positives. In Canada we use magnifications of up to 43 meaning all Covid tests are false",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@tyluvsdeb @CPHO_Canada The vaccine is safe, effective, saves lives and reduces transmission . I won't even bother asking you what your qualifications are or where you practice medicine. You are clearly one of those ignorant selfish conspiracy theorists who feels the need to hurt people with lies. Idiot.",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Quea_Ali @kinsellawarren @Yvette01701277 @liberal_party I think one of those orders is for the Novovax vaccine, which Health Canada still hasn't approved. The JandJ vaccine was a flop too.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@SharkawyMD Shame on China loving Liberal globalists like you who don't want to protect the citizens of Canada by banning flights because it might ""racist""ù and/or ""discriminatory""ù.  Over a dozen countries have banned flights from Southern Africa, Canada needs to do the same.",government,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@Balacla27914533 I want it, I'm acting like it, I'm doing everything I can to live normal life. 

I'm pissing people off with my POV; have been at odds with family members; lost friends. But I won't be enslaved by a virus. If I get sick, so be it. But this living in fear is not living. I'm done.",covid/pandemic,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@acweyand Apparently Canada has stockpiles of vaccine sitting around and over 1 million (I think?) have gone to waste. I'm going stateside at Christmas and I'll see if someone will give me a booster dose down there.,vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@bcbluecon @punditclass ""Conservatism"" 
That word doesnt fit there.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@celliottability @calxandr Are there still unvaccinated people in Canada    @JustinTrudeau even fails on his key objectives,government,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@governor01 @LyndzBeck Anything to back any of that up? and don't refer me back to 4 pages from something that called ""Breaking the Spell"" again, evidence please, not deflection. If you can't provide anything, shut up and run along.",others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ruralroots780 The most #tolerant and #welcoming country #Canada #ehh.,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@DavidHamer_1951 @JustinTrudeau Funny he wouldn't use Canada Post  §î,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@SkyNewsBreak The U.S.EPA needs to approve Nanocyn. It is a disinfectant that kills Covid in 15 seconds, airborne or surface and is non-toxic. It has been approved by Australia, Canada etc also the FDA and Boeing. Mfg by Sonoma Pharma(US) and licensed by MicroSafe(Dubai).",vaccine,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@14ReyRey @OneVapid Well let's hope that continues there...the new Oma variant medical autocrats are ringing alarm bells over here (GWN) is signalling more restrictions to sell more poisons/potions.,variant,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@oldmusicsoull @BogochIsaac So when 100% of the population is vaccinated, are you going to freak out when 100% of the cases are from vaccinated individuals?",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@photoJDL Air Canada is pretty good about responding to stuff like that. In the pre-COVID times I was onboard with them about once a month and when they screw up (like everyone inevitably does) they fix it.,government,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@ThatsTh92324187 @calgaryherald Jeepers,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"@lauren_zb @hasanthehun Yet here we are forcing people who are vaccinated, in vaccinated only spaces, to still social distance and remain masked. Insanity.",vaccine,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@tpwkwallis ya I'm not sure why we've made it a thing to be at first or last as part of your Harry card bingo. I'm sad my dates in Canada were cancelled but I know how lucky I was to be able to get to the states (despite how hard and how much more it cost bc of covid) I was rly rly lucky,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
